dist,limit
87.5634,25
277.5634,25
527.5634,35
844.913,35
2184.913,75
2424.913,35
2734.955,35
4108.269,75
4538.269,90
4988.269,90
5282.191,85
6382.191,75
6938.681,75
7228.681,75
7738.681,85
7898.681,90
10555.43,90
11105.43,50
11431.48,50
12741.48,75
15366.43,85
15836.43,50
15936.43,35
16171.96,40
16291.96,65
16981.96,90
19704.09,35
19912.63,35
19932.63,85
20592.63,85
21452.63,70
23150.2,65
24229.36,85
25149.36,85
27467.32,75
27777.32,75
29307.67,75
30667.67,90
30960.86,90
32090.86,60
32620.86,65
33020.86,85
33830.86,65
34760.08,35
35161.98,75
39196.34,50
39460.51,45
40030.51,65
41664.77,65
42184.77,70
43304.93,65
44384.93,70
44784.93,45
44814.93,65
45524.93,45
46104.93,50
46416.81,50
47426.81,65
48766.81,65
49346.81,60
50626.81,45
51286.81,45
52316.81,60
52746.81,65
53390.61,65
53730.61,60
53930.61,60
54170.61,65
54580.61,65
54980.61,40
55253.34,50
59540.7,40
59856.58,50
61266.58,75
61396.58,40
61633.39,50
62223.39,70
62673.39,65
62933.39,50
63323.39,55
63638.39,45
63673.39,50
64233.39,75
64863.39,50
65103.39,65
65573.39,45
65874.35,65
66074.35,40
66254.35,65
66884.35,60
67274.35,65
67404.35,45
67574.35,50
67954.35,60
68094.35,70
68334.35,75
68780,65
69255,40
69495,25
69630,40
70030,35
70065,35
