dist,limit,note
112.7641,50,
2403.599,75,
558.599,55,
1468.599,80,🟩
1678.599,60,
3567.849,85,🟩
3802.849,70,🟩
4327.849,85,🟩
4487.849,75,🟩
5708.287,80,🟩
6881.803,60,🟩
7176.803,70,🟩
7661.803,65,🟩
8218.02,70,🟩
8533.02,75,
8951.63,65,🟩
9266.63,85,🟩
9836.63,60,🟩
10350.43,60,🟩
11155.43,65,🟩
11365.43,70,🟩
11760.43,70,🟩
14094.43,85,🟩
14594.43,85,🟩
15224.43,75,
15712.51,75,
21274.62,85,🟩
22609.62,60,🟩
23049.62,60,🟩
24155.92,75,🟩
25240.92,70,🟩
25690.92,60,🟩
27850.92,60,🟩
28635.92,50,
28976,45,
29186,70,🟩
29471,60,
29696,55,
30171,60,
30876,55,🟩
31701,70,🟩
31911,60,
33026,60,🟩
33671,75,
33891,70,🟩
34037,85,🟩
34312,65,🟩
34557,60,🟩
34802,60,
35222,60,🟩
35862,60,
36082,60,🟩
36672,85,🟩
37062,85,
41392,75,
41802.04,75,
42502.04,60,
42840.09,55,🟩
44415.09,55,🟩
44670.09,60,🟩
44920.09,55,🟩
45465.09,55,🟩
45640.09,55,
45955.09,55,🟩
46555.09,55,🟩
46880.09,70,🟩
47055.09,55,🟩
48025.09,60,🟩
48315.09,55,🟩
48710.09,55,🟩
48790.09,40,
49072.14,40,
49902.14,60,🟩
50112.14,55,🟩
50302.14,65,
50717.14,65,🟩
50887.14,55,🟩
52057.14,65,🟩
52673.55,80,🟩
53728.55,70,🟩
54298.55,70,🟩
54788.55,75,
55112.23,75,
57487.23,60,
57862.23,65,
