dist,limit
-52910,45
-49640,80
-48584,100
-48240,90
-47820,60
-47770,70
-47700,65
-47300,65
-47180,75
-46845,90
-46015,80
-45315,90
-44905,95
-43435,45
-42865,45
-40980,90
-38234,95
-31212,95
-18916,75
-18610,90
-17540,70
-16300,80
-14900,95
-14510,80
-12460,95
-12170,90
-11850,95
-11420,95
-10980,85
-10870,85
-10650,70
-9746,65
-9646,60
-9376,65
-9086,90
-7876,70
-7456,65
-7041,65
-6605,65
-5805,80
-4810,90
-4637,65
-3585,70
-3435,65
-3025,50
-2755,60
-2365,75
-2230,45
-1960,75
-1880,65
-1520,55
-1350,75
-949,85
-509,70
-409,60
