dist,limit
-96356.1,45
-96226.1,35
-96051.1,70
-92441.8,90
-90747.9,85
-89787.9,75
-89147.9,35
-88762.9,35
-88617.9,60
-85068.7,50
-84768.4,50
-82638.4,70
-76321.2,50
-76010.7,45
-68741.4,75
-68566.2,70
-64616.2,65
-64241.2,55
-64131.2,50
-64066.2,45
-63841,50
-63796,75
-63546,60
-62746,60
-62001,65
-60166.5,55
-58916.5,55
-58661.5,65
-58306.5,70
-56591.5,40
-56397.4,40
-55767.4,60
-53952.4,70
-53217.4,45
-53167.4,40
-53035.4,40
-52855.4,70
-51645.4,70
-51195.4,60
-50025.4,60
-48690.4,70
-48015.4,70
-47220.4,70
-46745.4,70
-45905.4,55
-45015.4,60
-44985.4,40
-44958.3,30
-44928.3,40
-44593.3,70
-43528.3,75
-43178.3,70
-41183.3,60
-40713.3,70
-39928.3,50
-39757.2,50
-39647.2,70
-38627.2,65
-37202.2,50
-37042.2,45
-37038.6,30
-35253.6,70
-34468.6,55
-34068.6,60
-31443.6,50
