dist,limit,note
200,35,
240,40,
525,60,
1000,60,
1030,65,
1625,80,
2228,55,🟧
2398,60,🟧
2608,75,🟩
3173,125,
3368,110,
3650,90,
4020,95,
5030,60,🟩
5535,105,
5709,115,
7620,90,🟩
8300,100,🟩
8585,80,🟩
11180,95,🟩
11790,95,🟩
11970,85,🟩
13380,120,
13755,115,
14160,95,🟩
14690,120,
15350,95,🟩
16105,95,🟩
17635,120,
17890,120,
18389,110,
18844,125,
20134,115,
20584,110,
22214,125,
22769,95,🟩
26820,110,🟩
28830,125,
30124,115,
30899,85,🟩
32924,120,
32469,125,
32629,90,🟩
34699,125,
34924,100,🟩
35429,115,
35904,95,🟩
36370,85,🟩
37305,125,
39130,120,
39395,100,🟩
40035,100,
40175,70,🟩
40770,85,🟩
43290,105,🟩
45510,100,🟩
45891,100,🟩
46186,100,🟩
46321,95,🟩
46601,95,🟩
47246,80,🟩
47841,105,
53200,110,
53295,105,🟩
56535,125,
58804,85,🟩
59204,120,
59970,120,
62530,105,🟩
62850,95,🟩
63475,85,🟩
65165,105,
65415,85,🟩
65695,80,🟩
67497,85,🟩
68562,125,
72535,120,
72660,100,
74890,100,🟩
76180,85,🟩
78200,110,🟩
79044,85,🟩
79199,90,🟩
81299,95,🟩
82480,95,
82615,85,🟩
82800,105,
85440,115,🟩
87110,95,🟩
89015,80,
93535,85,🟩
93815,80,🟩
95015,125,
95880,105,🟩
98055,115,🟩
100080,90,🟩
101240,80,🟩
106635,95,🟩
113340,95,🟩
115200,80,🟩
116200,105,
116990,80,🟧
117800,70,
117995,50,
118525,85,🟩
119520,120,
120565,115,🟩
121625,100,🟩
122210,95,🟩
123130,35,
