dist,limit,note
164.53,35,
1744.53,65,
1874.53,55,
1989.53,45,
2064.53,75,
2228.515,60,
2843.515,45,
3684.507,45,
4861.147,70,
5061.147,45,
5390.382,80,
6450.382,70,
7040.382,45,
8671.744,45,
8864.166,65,
9714.166,45,
11768.03,45,
13883.68,70,
14128.68,45,
15959.78,45,
17178.65,45,
18645.42,45,
18645.42,65,
18645.42,35,
18705.86,45,
18810.86,55,
20445.86,50,
20707.11,25,
20832.11,55,
21357.11,60,
21736.11,65,
22001.11,60,
22146.11,65,
23645.62,35,
23743.62,40,
23943.62,65,
24168.62,50,
24458.62,45,
24715.29,55,
24955.29,55,🟧
25555.29,65,
25765.29,50,
25960.29,70,
26045.46,35,
26205.46,65,
26580.46,40,
26970.46,45,
27105.46,35,
27358.8,65,
27452.8,25,
27578.8,50,
28183.8,50,
28818.8,50,
29433.8,55,
29858.8,50,
30074.03,45,
30254.03,50,
30384.03,55,
30869.03,60,
31144.03,55,
31334.03,50,
31549.03,35,
31834.56,35,
31984.56,40,
32154.56,50,
32894.56,60,
33089.56,65,
33599.56,55,
33749.56,25,
34012.88,40,
34382.88,55,
34697.88,50,
35047.88,60,
35433.63,50,
36723.63,55,
36828.63,45,
36943.63,25,
