dist,limit,note
345.452,35,
400.452,35,
645.452,90,
1805.452,85,🟩
17951.26,85,🟩
20471.26,80,🟩
23907.73,85,
24167.73,85,
25197.73,95,
26947.73,95,
27657.73,90,
30492.44,90,
30867.44,90,
31572.44,90,
32517.44,90,
33012.38,90,
35722.38,80,
36342.38,35,
36846.3,35,
37016.3,35,
37191.3,90,
40425.1,90,
43031.81,90,
44131.81,85,
45648.9,90,
46108.9,95,
47433.9,90,
48258.9,95,
48475.36,90,
49735.36,85,
54532.63,75,
55017.63,90,
56264.91,90,
57399.91,90,
62269.88,85,
65955.88,90,
71842.85,85,
72532.85,35,
73242.25,35,
84148.65,100,
84399.36,105,
93544.01,85,🟩
94682.57,60,🟩
94987.57,70,🟧
101167.7,80,🟩
102542.7,70,🟩
103207.7,80,🟧
103823.5,80,
103918.5,75,
104438.5,70,🟩
105913.5,70,🟩
106863.5,70,🟩
108026.6,90,
111287.7,90,🟩
112147.7,85,🟩
114552.7,115,
117479.3,85,🟩
118963.2,70,🟧
120588.2,75,
120748.2,35,
121464.3,45,
121574.3,50,
125100,95,
128450,85,🟩
130063,90,
133517,85,🟩
134092,85,🟧
134547,45,
134672,70,🟩
