dist,limit,note
209,60,
279,35,
339,60,
619,95,
1069,80,
1189,100,
2349,100,
2509,100,
3844,105,
4489,110,
5019,110,
6220,115,
6240,105,
7090,105,
7970,105,
8300,110,
9135,105,
10240,110,
10280,105,
10850,115,
12515,110,
12710,100,
13840,100,
14140,110,
14485,105,
15150,100,
16110,80,🟧
16300,95,🟧
16930,105,
17340,85,
17770,85,
19610,85,
20140,85,
20520,85,
21035,65,
21325,65,
21430,75,
21740,80,
21910,75,
22255,55,🟧
22335,50,🟧
22455,45,🟧
22920,75,
23300,65,
24755,70,🟧
25060,55,🟧
26345,75,
26625,70,
27725,60,
27855,90,
31205,75,🟧
31535,60,
31745,75,🟧
31980,50,
32995,75,
33265,75,
33685,75,🟧
33890,70,
34715,85,
34975,45,
35035,65,
35170,45,
35380,75,
35780,85,
36325,80,
36720,75,
37740,70,🟧
38650,75,
39250,85,90
40110,60,
40195,75,
40275,75,
40600,70,
41075,60,🟧
41785,70,
42070,60,
42195,80,
