dist,limit,note
120,55,
205,55,
340,85,🟧
655,95,
985,105,
1190,85,🟧
1350,95,
1600,85,🟧
2020,65,🟧
2110,70,🟧
2270,85,🟧
2500,80,
2805,85,
2965,45,
3090,60,
3305,50,🟧
3545,45,
3600,50,
4247,30,
4347,40,
4377,55,
4542,65,
4872,90,
5497,100,
6047,100,105
6967,105,
7197,105,
8232.868,100,
8810.22,100,
8975.22,90,95
9470.22,90,
9695.22,75,
9935.22,105,
10800.22,85,90
11435.22,100,105
12545.22,85,90
14007.9,105,110
14637.9,85,90
16087.9,100,105
20947.9,100,105
22177.9,105,110
22507.9,100,105
23337.9,100,105
24047.9,100,105
24836.84,105,110
25611.84,100,105
26561.84,100,105
29944.44,90,
30514.44,75,
