dist,limit,note
350,45,
630,65,
810,105,115
1090,100,110
1150,90,
1670,80,
2450,100,110
3670,105,115
3960,95,
5030,70,
5190,65,
5300,60,
5700,100,110
5900,90,
6610,95,
7200,90,
8470,100,
10200,100,110
11200,105,115
12000,100,110
17700,105,
18050,100,
20588,90,100
21088,100,110
21378,110,120
22130,100,105
24110,100,115
24960,95,110
26380,90,95
28580,100,
29233,100,
30283,100,110
31183,110,120
31913,85,95
32183,75,85
33783,75,85
35533,85,95
36223,95,
36883,80,90
37433,100,110
39483,90,100
39733,100,110
40323,105,115
40423,100,
41433,105,110
44213,80,
44793,90,95
45288,80,
45783,60,
46063,70,
46801,85,
47191,100,
49911,90,95
50911,80,
56997,105,110
58900,115,
59300,105,110
60380,110,
60720,115,120
61480,105,110
62710,105,110
63490,115,120
63660,90,
63890,110,
64601,100,
66041,110,115
67841,95,100
68277,90,
70197,115,
71432,115,120
73027,115,
73333,115,120
74433,115,
75463,115,120
76399,105,110
77083,105,110
78221,115,
80386,110,
81017,105,110
82152,115,
83252,115,120
83502,100,
85703,105,110
86332,85,
86572,75,80
86942,80,90
87212,80,90
87482,85,90
88142,75,80
89832,85,90
90519,90,
90769,75,80
91199,85,90
92169,75,80
92759,100,105
94069,100,105
94499,85,90
94769,75,80
95689,85,
96804,95,100
97464,75,80
98384,85,90
99455,75,80
102485,80,85
102685,75,80
103135,75,80
103635,70,
