dist,limit,note
-90071,90,
-89821,35,
-89721,80,
-89331,80,
-88681,80,
-87901,90,
-87471,85,
-87071,85,
-86861,80,
-86461,95,
-83287,45,
-82162,110,
-82052,105,
-81452,100,
-80407,115,
-79061,90,
-78646,110,
-78166,100,
-77706,100,
-77656,90,
-77273,105,
-77023,100,
-77563,105,
-75798,115,
-73543,105,
-73293,110,
-73123,110,
-72993,110,
-72753,115,
-71758,115,
-68278,105,
-66313,115,
-65783,90,
-65380,105,
-64965,110,
-64615,115,
-63560,100,
-63430,90,
-63350,100,
-62600,105,
-61980,90,
-61035,100,
-60870,105,
-59760,95,
-58890,100,
-58260,100,
-57280,95,
-55265,100,
-54575,95,
-52000,105,
-51840,100,
-51215,105,
-6700,50,
-6605,35,
-6455,45,
-6405,45,
-5765,100,🟧
-5540,85,
-5400,75,
-4160,85,🟩
-2295,80,🟩
-2190,75,🟩
-1395,85,🟧
-770,60,🟧
-565,45,
