dist,limit
-111875,45
-107450,45
-107380,50
-104400,55
-104148,75
-103598,85
-102673,70
-102065.7,65
-101395.7,75
-100775.7,85
-96679.1,65
-95791.7,75
-95461.7,80
-94801.7,85
-93266.7,85
-92678.6,70
-92278.6,75
-91758.6,90
-91548.6,70
-90384.9,80
-89919.9,80
-89144.9,80
-89054.9,75
-88824.9,65
-88264.9,75
-88144.9,65
-87804.9,80
-87184.9,90
-86674.9,80
-83799.9,105
-83399.9,100
-83069.9,90
-82965.8,105
-82175.8,105
-81975.8,100
-81805.8,105
-80005.8,105
-79195.8,105
-78354.8,85
-78034.8,90
-76884.8,105
-76504.8,115
-75924.8,80
-74664.8,110
-74244.8,80
-73022.6,105
-72877.6,100
-72327.6,105
-71382.6,100
-70962.6,80
-82682.6,75
-70557.6,105
-70377.6,100
-70287.6,105
-68822.6,110
-68687.6,90
-67887.6,100
-67667.6,110
-67422.6,105
-66337.6,105
-65932.6,95
-64612.6,100
-64342.6,95
-63047.6,95
-62717.6,90
-61567.6,110
-61157.6,110
-60592.6,105
-60077.6,110
-59682.6,115
-57404.6,110
-57264.6,110
-56464.6,100
-56119.6,80
-55808.2,90
-54573.2,115
-54263.2,110
-51723.2,105
-51373.2,105
-50588.2,80
-50263.2,80
-49207.7,100
-49017.7,90
-48739.7,100
-48419.7,90
-48279.7,90
-48059.7,80
-47874.7,70
-47622.7,70
-47517.7,65
-47127.7,80
-46717.7,80
-46507.7,100
-46007.7,80
-45470.4,80
-43665.4,75
-43085.4,90
-41390.4,80
-41190.4,70
-41040.4,65
-40786.4,85
-40276.4,90
-40026.4,90
-39666.4,45
-39076.4,65
-38912.2,45
-38727.2,75
-37898.9,85
-36963.9,75
-36496.7,85
-35951.7,80
-34551.7,60
-33793.8,90
-32598.8,90
-31658.8,105
-31418.8,95
-30623.8,90
-29803.8,115
-29313.8,115
-29011.7,100
-28017.7,115
-27602.7,100
-26287.7,105
-24167.7,60
-23553.6,60
-23308.6,115
-21588.6,115
-19253.6,115
-17678.6,105
-17298.6,90
-16968.6,90
-16593.6,125
-14123.1,115
-13043.1,115
-12868.1,100
-12798.1,125
-12653.1,125
-12443.1,125
-12384.34,115
-12299.34,100
-12189.34,110
-11014.34,115
-10449.34,105
-9709.34,110
-9444.34,115
-9414.34,115
-8659.34,125
-8479.34,100
-7884.34,100
-7405.34,100
-7370.34,105
-6585.34,105
-5575.34,105
-5135.34,115
-2883.24,100
-2174.2445,100
-2049.2445,110
-1789.2445,70
-1469.2445,115
-1219.2445,120
-539.2445,45
